Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,Class_name,value,Shape_Length_1,Shape_Area_1,Block,Plot,Shape_Length_12,Shape_Area_12,Block_1,Plot_1,Shape_Length,Shape_Area
1,46336,1,46336,disk,3,117.864519574401214,868.109029511964650,5,BN,117.864519574401214,868.109029511964650,5,BN,45.288147517419318,9.661780465129141
1,46484,1,46484,disk,3,117.864519574401214,868.109029511964650,5,BN,117.864519574401214,868.109029511964650,5,BN,40.716047737555108,4.608545396140497
1,48163,1,48163,disk,3,119.045105004788994,885.639136693235741,5,BR,119.045105004788994,885.639136693235741,5,BR,46.735273083713821,8.568933969142650
1,51830,1,51830,disk,3,119.045105004788994,885.639136693235741,5,BR,119.045105004788994,885.639136693235741,5,BR,55.233206400546820,13.883380001048121
1,52612,1,52612,disk,3,119.169317229062273,887.482455554161788,5,UN,119.169317229062273,887.482455554161788,5,UN,68.799729492111894,19.617894919501307
1,53108,1,53108,disk,3,119.169317229062273,887.482455554161788,5,UN,119.169317229062273,887.482455554161788,5,UN,29.665281624615201,4.238435739163180
1,54841,1,54841,disk,3,120.058621793983278,899.474026901944285,3,BN,120.058621793983278,899.474026901944285,3,BN,34.975468854094700,3.409893814938452
1,55713,1,55713,disk,3,120.058621793983278,899.474026901944285,3,BN,120.058621793983278,899.474026901944285,3,BN,47.985958808424009,9.013672738961617
1,55956,1,55956,disk,3,120.058621793983278,899.474026901944285,3,BN,120.058621793983278,899.474026901944285,3,BN,48.863397821392383,11.085601249598591
1,56827,1,56827,disk,3,120.058621793983278,899.474026901944285,3,BN,120.058621793983278,899.474026901944285,3,BN,47.512861945914608,7.985321317494960
1,59516,1,59516,disk,3,120.234167510218782,903.254726806773078,4,BR,120.234167510218782,903.254726806773078,4,BR,75.315707481345484,24.889174531689431
1,59675,1,59675,disk,3,118.636678257126192,879.605294616637366,4,UN,118.636678257126192,879.605294616637366,4,UN,69.536600627753018,10.873356615033499
1,62435,1,62435,disk,3,120.234167510218782,903.254726806773078,4,BR,120.234167510218782,903.254726806773078,4,BR,89.371271379989579,19.964126790173900
1,66043,1,66043,disk,3,118.636678257126192,879.605294616637366,4,UN,118.636678257126192,879.605294616637366,4,UN,66.540024886934219,10.137458753711572
1,66186,1,66186,disk,3,118.636678257126192,879.605294616637366,4,UN,118.636678257126192,879.605294616637366,4,UN,73.492118791383987,14.871131230082071
1,67293,1,67293,disk,3,119.072006691100285,886.090670876413355,4,BN,119.072006691100285,886.090670876413355,4,BN,28.177010034911440,2.456130189243829
1,67914,1,67914,disk,3,119.072006691100285,886.090670876413355,4,BN,119.072006691100285,886.090670876413355,4,BN,13.751115274726953,1.179978860208820
1,68547,1,68547,disk,3,119.072006691100285,886.090670876413355,4,BN,119.072006691100285,886.090670876413355,4,BN,37.693711061106598,4.213555671040628
1,69414,1,69414,disk,3,119.072006691100285,886.090670876413355,4,BN,119.072006691100285,886.090670876413355,4,BN,75.066564106537513,12.178036865203557
1,70547,1,70547,disk,3,119.072006691100285,886.090670876413355,4,BN,119.072006691100285,886.090670876413355,4,BN,23.167807484053004,3.447664734172144
1,71371,1,71371,disk,3,119.072006691100285,886.090670876413355,4,BN,119.072006691100285,886.090670876413355,4,BN,39.291453245372033,4.781751760663688
1,72061,1,72061,disk,3,119.072006691100285,886.090670876413355,4,BN,119.072006691100285,886.090670876413355,4,BN,34.133347106015314,4.600239990818508
1,73406,1,73406,disk,3,119.072006691100285,886.090670876413355,4,BN,119.072006691100285,886.090670876413355,4,BN,55.879165538601107,8.572124693490711
1,73810,1,73810,disk,3,118.988713387209941,883.526166848208391,3,BR,118.988713387209941,883.526166848208391,3,BR,39.978069423923955,10.669897449308914
