OBJECTID,Class_name,Shape_Length,Shape_Area,Year
18422,disk,153.6141436,50.29353658,2016
18553,disk,2.205861689,0.11525908,2016
18620,disk,2.075537476,0.25170436,2016
18774,disk,1.995846993,0.177371105,2016
18775,disk,2.159595267,0.32875345,2016
18857,disk,17.82688332,2.903846417,2016
18898,disk,1.688924585,0.144611235,2016
19610,disk,37.28354497,11.41725984,2016
19738,disk,1.670876957,0.113248065,2016
19771,disk,2.558328174,0.32263914,2016
19772,disk,25.48412612,9.386038525,2016
19912,disk,3.143859101,0.193723335,2016
19913,disk,1.61790221,0.1820998,2016
19914,disk,32.67584318,10.99521589,2016
20383,disk,2.498573716,0.40451295,2016
20384,disk,25.24400511,14.15408758,2016
21036,disk,7.068333515,0.511668866,2016
21037,disk,46.0672224,15.39240311,2016
21071,disk,1.47341172,0.08048081,2016
21138,disk,2.496117285,0.263942215,2016
21145,disk,2.462312837,0.27694768,2016
21146,disk,19.65950082,6.759802156,2016
21158,disk,2.072466969,0.130945285,2016
21737,disk,2.778921137,0.43174882,2016
21738,disk,24.56074273,4.390851359,2016
22048,disk,2.290280271,0.133028325,2016
22049,disk,1.679957167,0.14459831,2016
22050,disk,46.88164612,11.2687891,2016
22289,disk,3.763583578,0.354699729,2016
22290,disk,1.927793825,0.167149805,2016
22291,disk,28.4195982,10.77692412,2016
22980,disk,30.66249253,8.72646391,2016
22991,disk,2.511799915,0.169201451,2016
22992,disk,1.370243547,0.10641232,2016
23600,disk,31.01486171,10.54366466,2016
23788,disk,18.96363494,6.14798117,2016
23810,disk,1.163690254,0.08390884,2016
24314,disk,9.805257006,1.166421144,2016
24567,disk,3.083468815,0.387428205,2016
24568,disk,18.22752158,5.554527134,2016
24573,disk,1.238204637,0.073691235,2016
24606,disk,15.54169056,5.567460559,2016
24633,disk,3.469546624,0.347858445,2016
24792,disk,2.638616059,0.19504247,2016
24801,disk,3.183985104,0.404464935,2016
24802,disk,21.9666322,7.8874747,2016
25080,disk,2.478985686,0.334913931,2016
25081,disk,14.59257225,5.549813215,2016
25445,disk,2.896026364,0.335555951,2016
26733,disk,1.991721719,0.209416925,2016
27278,disk,31.87032271,10.9678877,2016
27318,disk,2.73154581,0.27558053,2016
1282,disk,21.83872594,10.15312575,2021
1304,disk,33.59818257,25.71848076,2021
2292,disk,36.76947971,15.46675367,2021
5315,disk,25.62305381,13.9375469,2021
5988,disk,14.28381091,5.336315049,2021
6478,disk,13.38139185,2.97331246,2021
8071,disk,20.46303342,9.860102416,2021
9932,disk,17.5956148,7.31536906,2021
10911,disk,36.306114,13.52039,2021
13268,disk,22.49973511,8.339914991,2021
19604,disk,22.77091942,11.25201197,2021
20097,disk,16.09357683,5.236551939,2021
20605,disk,23.58320281,7.119627866,2021
22336,disk,23.48948429,7.70452599,2021
28427,disk,19.44375397,8.57676003,2021
29839,disk,19.85413286,8.719933815,2021
32024,disk,37.00945377,14.16121728,2021
